route_station_id,station_seq,is_start,is_end,route_id,station_id
362,1,1,0,100000025,105000166
363,2,0,0,100000025,105000161
364,3,0,0,100000025,105000156
365,4,0,0,100000025,105000126
366,5,0,0,100000025,105000218
367,6,0,0,100000025,105000118
368,7,0,0,100000025,105000134
369,8,0,0,100000025,105000130
370,9,0,0,100000025,105000198
371,10,0,0,100000025,105000193
372,11,0,0,100000025,105000186
373,12,0,0,100000025,105900050
374,13,0,0,100000025,105000187
375,14,0,0,100000025,105000192
376,15,0,0,100000025,105000199
377,16,0,0,100000025,105000131
378,17,0,0,100000025,105000135
379,18,0,0,100000025,105000119
380,19,0,0,100000025,105000212
381,20,0,0,100000025,105000127
382,21,0,0,100000025,105000155
383,22,0,0,100000025,105000160
384,23,0,1,100000025,105000165
385,1,1,0,100000026,101000338
386,2,0,0,100000026,101000119
387,3,0,0,100000026,101000120
388,4,0,0,100000026,101000135
389,5,0,0,100000026,101000121
390,6,0,0,100000026,100000081
391,7,0,0,100000026,100000080
392,8,0,0,100000026,100000155
393,9,0,0,100000026,100000079
394,10,0,0,100000026,100000192
395,11,0,1,100000026,100000078
396,1,1,0,100000027,112000118
397,2,0,0,100000027,112000119
398,3,0,0,100000027,112000179
399,4,0,0,100000027,112000177
400,5,0,0,100000027,112000099
401,6,0,0,100000027,113000532
402,7,0,0,100000027,112000178
403,8,0,0,100000027,112000121
404,9,0,0,100000027,112000130
405,10,0,1,100000027,112000073
406,1,1,0,100100001,101000331
407,2,0,0,100100001,101000053
408,3,0,0,100100001,101000054
409,4,0,0,100100001,101000103
410,5,0,0,100100001,101000293
411,6,0,0,100100001,101000117
412,7,0,0,100100001,101000106
413,8,0,0,100100001,101000149
414,9,0,0,100100001,102000226
415,10,0,0,100100001,102000316
416,11,0,0,100100001,101000111
417,12,0,0,100100001,101000265
418,13,0,0,100100001,101000029
419,14,0,0,100100001,101000033
420,15,0,0,100100001,101000039
421,16,0,0,100100001,100000023
422,17,0,0,100100001,100000415
423,18,0,0,100100001,100000416
424,19,0,0,100100001,100000417
425,20,0,0,100100001,100000418
426,21,0,0,100100001,100000104
427,22,0,0,100100001,100000413
428,23,0,0,100100001,100000004
429,24,0,0,100100001,101000001
430,25,0,1,100100001,101000331
431,1,1,0,100100002,101000033
432,2,0,0,100100002,101000039
433,3,0,0,100100002,100000022
434,4,0,0,100100002,100000104
435,5,0,0,100100002,100000413
436,6,0,0,100100002,100000004
437,7,0,0,100100002,101000001
438,8,0,0,100100002,101000051
439,9,0,0,100100002,101000032
